ETH Address	transfered ETH
0xdf0bfc3eda7f411788efa028540c71f666746e87	50
0x5394361b4337ddc47e04ec253ac9530d96503eb5	1.5
0xc44b7aa69b7c5fe29f70ad0734f11ab1dcc83b99	1.03
0x472cbf662e4c2458d05996fb6ada42f9263a8714	10
0x4d61898ab61e9044a3a65356e0b8f53a3af2be0f	1.3
0x22812120d46c0cb86be19f45aae45a630b9c8945	2
0x991b058fea5fb27baac90347527393dfc6349cac	1.1
0x0dae0f429f837542ad9fd180d465f294c136b575	2
0x1dcf5ec9d6bc93dce3beef373202533a9e700b3b	15.019475
0x5d70bca66bacfbfc46ade24054ac6e7acc2942ad	12
0xe51ced502fd7c26389e092d3f2a0fa06e430651d	50
0xe22fc99b40a6ceb0748c4d7e6122b1499673500a	4.185370615
0x9c15bbd5f27b1f8029ae02c4db6388d43ccc0eb5	26
0xf1458d8f8d09e686aa1d7f3a4877a861c819edd4	50
0x9e75f8a3698ba5f924aad561488e052078b23eda	7.6
0xaff1eb34f62df2520f632ac9e0fd814be9c4c550	10.3579
0xf35fc4f6f33c30bd4f904921a3feab26618156fb	3.14895
0x2672f018a2dafb8e8fe5c9139799c9c6e704040f	7
0xc5e12c20b84ab8ddc16dfdc2145c46ac6320958c	3.004
0x8065491937f3e386b4ff529b1e260abc4960a965	5
0xa4fb869ba8ffa67ffb9a61867c236fb7300207a8	15.06157
0xd257b8153f9bef1acae63f7c995382948baf9258	32.1922226
0x17c00f30f88889f63dc6dc0a1c85d496d0b2c8e4	8.87874
0xa126c559e3333d881ea4e76117c2314e61243a93	19.991
0x9dd20ea4c376d5f30aff7bdc87425e7ccfb306c2	9.639
0xe2187ec36f39ab6906f03504d1d595e7ec619b43	27
0xc93f2d6ebc46ce9ed98f5149743c42bf87eb75ba	5
0xec43d204fc691d2daf4622ef3ff9d15aeac27fc6	20.07541901
0x01637d2fc030e213bc0000490c5a2e36ee81f8a8	6.997
0xa2b0dda84d82ada0fa69a91fcee7cd898406cde9	36
0x7ecd759456a98bb955eef1800563279848588363	49
0xe8ee2f906483f261067d78448e9298c39e6c5b6f	50
0x73c2f9fb84a62345ef0d14b94b408934ef98041a	13.885
0x4abf6ef67289a2d10642f45b9914abca6ba4df73	14
0xb36a6905943da7a60c9961e410af141fc535685d	10
0x5b0219105c6a36454110839173887e7589fc8dd3	10
0x93f3a61973232a6d7197f46018e2fdeeec0739e8	25
